Title,Handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Diamond Shape (product.metafields.custom.diamond_shape),Diamond Colour (product.metafields.custom.diamond_colour),Diamond Clarity (product.metafields.custom.diamond_clarity),Total Carat Weight (product.metafields.custom.total_carat_weight),Setting Style (product.metafields.custom.setting_style),Made In (product.metafields.custom.made_in)
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-14KW-LAB,,,14K White Gold,,,Lab Grown,,,,,7090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-14KW-NAT,,,14K White Gold,,,Natural,,,,,13790,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-18KY-LAB,,,18K Yellow Gold,,,Lab Grown,,,,,2790,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-18KY-NAT,,,18K Yellow Gold,,,Natural,,,,,3990,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-18KR-LAB,,,18K Rose Gold,,,Lab Grown,,,,,6290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-18KR-NAT,,,18K Rose Gold,,,Natural,,,,,4590,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-18KW-LAB,,,18K White Gold,,,Lab Grown,,,,,7390,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-18KW-NAT,,,18K White Gold,,,Natural,,,,,14090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-PT-LAB,,,Platinum,,,Lab Grown,,,,,3090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,celestia-princess-halo-drop-earrings,,,,,,,,EAR0001-PT-NAT,,,Platinum,,,Natural,,,,,4290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumière Graduated Diamond Tennis Bracelet,lumiere-graduated-diamond-tennis-bracelet,"The Lumière Graduated Diamond Tennis Bracelet showcases a seamless row of graduated round brilliant diamonds in a refined four-claw setting. Crafted in Australia and available in your choice of premium gold or platinum, it offers timeless elegance with exceptional brilliance.<!-- split --><p>The Lumière Graduated Diamond Tennis Bracelet is crafted in Australia to celebrate timeless elegance with exceptional brilliance. A graceful row of graduated round brilliant diamonds creates a subtle focal point, with the largest stones at the centre gently tapering towards the clasp for a balanced and refined silhouette.</p><p>Available in your choice of premium gold or platinum, its classic four-claw setting allows each diamond to capture maximum light while ensuring lasting security.</p><p>Designed to transition effortlessly from everyday sophistication to life's most memorable occasions, this bracelet is a timeless addition to any fine jewellery collection.</p>",Arlena,Apparel & Accessories > Jewelry > Bracelets,Bracelets,"Bracelet, Tennis Bracelet, Graduated Diamond, Round Brilliant, Diamond Bracelet, Four Claw, Luxury Jewellery, Fine Jewellery, Arlena, Made in Australia",TRUE,active,BR0001-10KY-LAB,,Metal,10K Yellow Gold,,Diamond,Lab Grown,,,,,2490,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,FALSE,Lumière Graduated Diamond Tennis Bracelet | Arlena,Discover the Lumière Graduated Diamond Tennis Bracelet by Arlena. Crafted in Australia and available in premium gold or platinum for timeless elegance.,,,,,,,,New,FALSE,,,,,,Round Brilliant,DEF,VVS,13.198ct,"Four Claw, Tennis",Australia
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-10KY-NAT,,,10K Yellow Gold,,,Natural,,,,,3690,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-10KR-LAB,,,10K Rose Gold,,,Lab Grown,,,,,5990,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-10KR-NAT,,,10K Rose Gold,,,Natural,,,,,4290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-10KW-LAB,,,10K White Gold,,,Lab Grown,,,,,7090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-10KW-NAT,,,10K White Gold,,,Natural,,,,,13790,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-14KY-LAB,,,14K Yellow Gold,,,Lab Grown,,,,,2490,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-14KY-NAT,,,14K Yellow Gold,,,Natural,,,,,3690,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-14KR-LAB,,,14K Rose Gold,,,Lab Grown,,,,,5990,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-14KR-NAT,,,14K Rose Gold,,,Natural,,,,,4290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-14KW-LAB,,,14K White Gold,,,Lab Grown,,,,,7090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-14KW-NAT,,,14K White Gold,,,Natural,,,,,13790,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-18KY-LAB,,,18K Yellow Gold,,,Lab Grown,,,,,2790,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-18KY-NAT,,,18K Yellow Gold,,,Natural,,,,,3990,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-18KR-LAB,,,18K Rose Gold,,,Lab Grown,,,,,6290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-18KR-NAT,,,18K Rose Gold,,,Natural,,,,,4590,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-18KW-LAB,,,18K White Gold,,,Lab Grown,,,,,7390,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-18KW-NAT,,,18K White Gold,,,Natural,,,,,14090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-PT-LAB,,,Platinum,,,Lab Grown,,,,,3090,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lumiere-graduated-diamond-tennis-bracelet,,,,,,,,BR0001-PT-NAT,,,Platinum,,,Natural,,,,,4290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelia Emerald Three Stone Engagement Ring,aurelia-emerald-three-stone-engagement-ring,"The Aurelia Emerald Three Stone Engagement Ring showcases a striking emerald-cut centre diamond framed by perfectly matched emerald-cut side stones, set on a refined pavé diamond band. Elegant proportions and clean architectural lines create a timeless design that radiates exceptional brilliance.<!-- split --><p>The Aurelia Emerald Three Stone Engagement Ring is a celebration of timeless elegance and enduring love. Featuring a magnificent emerald-cut centre diamond complemented by two perfectly matched emerald-cut side stones, this classic three-stone design symbolises your past, present and future together. A delicate pavé diamond band enhances the brilliance while maintaining a refined, sophisticated profile.</p><p>Expertly crafted in Australia from your choice of 10K, 14K or 18K yellow, white or rose gold, or platinum, Aurelia is designed to become a treasured heirloom for generations.</p>",Arlena,Apparel & Accessories > Jewelry > Engagement Rings,Engagement Rings,"Engagement Ring, Three Stone, Emerald Cut, Emerald Cut Engagement Ring, Pavé Band, Diamond Ring, Luxury Jewellery, Bridal, Arlena, Made in Australia",TRUE,active,ER0001-10KY-LAB,,Metal,10K Yellow Gold,,Diamond,Lab Grown,,,,,2490,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,FALSE,Aurelia Emerald Three Stone Engagement Ring | Arlena,"Discover the Aurelia Emerald Three Stone Engagement Ring featuring an emerald-cut centre diamond, matching side stones and a pavé band. Crafted in Australia.",,,,,,,,New,FALSE,,,,,,Emerald,DEF,VVS,2.542ct,"Three Stone, Pavé, Claw",Australia
,aurelia-emerald-three-stone-engagement-ring,,,,,,,,ER0001-10KY-NAT,,,10K Yellow Gold,,,Natural,,,,,3690,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurelia-emerald-three-stone-engagement-ring,,,,,,,,ER0001-10KR-LAB,,,10K Rose Gold,,,Lab Grown,,,,,5990,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurelia-emerald-three-stone-engagement-ring,,,,,,,,ER0001-10KR-NAT,,,10K Rose Gold,,,Natural,,,,,4290,,,TRUE,,,,,,,,deny,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,
